sphere_r,seq_ms,v4_ms,speedup
0.2,13178.830,93.840,140.43936487638533674339
0.4,13094.803,94.509,138.55614809171613285507
0.6,13096.714,93.928,139.43354484285835959458
0.8,13126.343,93.879,139.82193035716187858839
1.0,13200.814,94.519,139.66307303293517705434
