step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,2452.5,0,2452.5,0,0,0
10,0,0,0,0,0,7.32207,2444.31,0,2451.63,0,0.010708,0.109707
20,0,0,0,0,0,28.5688,2421.48,0,2450.05,0,0.012833,0.243081
30,0,0,0,0,0,62.7083,2384.35,0,2447.06,0,0.011958,0.365538
40,0,0,0,0,0,108.766,2333.36,0,2442.13,0,0.012083,0.488288
50,0,0,0,0,0,165.825,2268.74,0,2434.57,0,0.01225,0.612206
60,0,0,0,0,0,233.021,2190.91,0,2423.93,0,0.01225,0.736792
70,0,0,0,0,0,309.542,2100.14,0,2409.68,0,0.012,0.857876
80,0,0,0,0,0,394.613,1996.77,0,2391.38,0,0.012334,0.984584
90,0,0,0,0,0,487.522,1881.12,0,2368.64,0,0.012083,1.10742
100,0,0,0,0,0,587.591,1753.52,0,2341.11,0,0.012958,1.23146
110,0,0,0,0,0,694.174,1614.2,0,2308.38,0,0.012125,1.35254
120,0,0,0,0,0,806.682,1463.48,0,2270.16,0,0.010417,1.46588
130,0,0,0,0,0,924.532,1301.66,0,2226.19,0,0.010458,1.57492
140,0,0,0,0,0,1047.21,1129,0,2176.21,0,0.010709,1.68287
150,0,0,0,0,0,1174.23,945.768,0,2120,0,0.010333,1.788
160,0,0,0,0,0,1305.09,752.218,0,2057.31,0,0.010542,1.89312
170,0.375175,0,0,20,5.96046e-08,1354.3,555.218,11.7731,1921.29,0,0.01125,2.00392
180,0.731499,0,0,8,5.96046e-08,1425.9,356.02,69.5912,1851.51,0,0.011042,2.11746
190,1.24571,0,0,13,5.96046e-08,1467.15,154.34,160.929,1782.42,0,0.010625,2.22517
200,1.93757,0,0,15,5.96046e-08,72.7122,48.9076,242.927,364.547,0,0.010792,2.33692
210,2.80345,0,0,2,5.96046e-08,31.5915,36.3024,288.304,356.198,0,0.01125,2.46112
220,3.57197,0,0,9,5.96046e-08,17.2038,35.1761,287.151,339.531,0,0.011083,2.59758
230,2.67174,0,0,6,5.96046e-08,41.0663,42.1057,250.897,334.069,0,0.011125,2.72258
240,1.66641,0,0,14,5.96046e-08,78.3384,55.9174,205.49,339.745,0,0.019,2.94942
250,1.23848,0,0,16,5.96046e-08,90.9029,75.8319,172.377,339.112,0,0.012584,3.06854
260,0.937199,0,0,13,5.96046e-08,94.2313,98.9597,142.19,335.381,0,0.011041,3.17804
270,0.82007,0,0,6,5.96046e-08,87.4171,122.653,119.674,329.744,0,0.010958,3.30446
280,0.975384,0,0,7,5.96046e-08,70.8741,144.054,102.208,317.137,0,0.011,3.42771
290,0.865122,0,0,8,5.96046e-08,47.6332,161.219,81.1255,289.978,0,0.01075,3.56546
300,0.939573,0,0,7,5.96046e-08,33.2957,173.353,71.772,278.421,0,0.010917,3.67446
310,0.913499,0,0,15,5.96046e-08,27.3116,180.014,67.3296,274.655,0,0.0115,3.80492
320,0.735263,0,0,10,5.96046e-08,26.7549,180.263,63.8782,270.896,0,0.01075,3.91375
330,0.82017,0,0,11,5.96046e-08,29.6959,175.816,62.1486,267.661,0,0.011041,4.02258
340,0.886773,0,0,7,5.96046e-08,36.5981,166.351,64.1779,267.127,0,0.010541,4.13162
350,0.875748,0,0,12,5.96046e-08,41.2608,151.901,71.3517,264.514,0,0.010792,4.23941
360,1.05099,0,0,20,5.96046e-08,46.6035,135.358,78.3175,260.279,0,0.010833,4.34766
370,0.882079,0,0,16,5.96046e-08,36.1058,119.969,84.6813,240.756,0,0.011,4.45904
380,0.977154,0,0,7,5.96046e-08,23.5616,109.113,91.7794,224.454,0,0.011334,4.57104
390,0.983028,0,0,12,5.96046e-08,17.4886,102.124,97.0514,216.664,0,0.011208,4.68475
400,0.91348,0,0,19,5.96046e-08,11.499,98.4597,100.188,210.147,0,0.011375,4.79746
410,1.02814,0,0,12,5.96046e-08,9.82508,98.4105,99.6175,207.853,0,0.012667,4.94708
420,1.05666,0,0,14,5.96046e-08,8.53448,101.242,96.0738,205.85,0,0.010917,5.07075
430,1.00884,0,0,10,5.96046e-08,10.4587,106.149,87.9072,204.515,0,0.014458,5.31121
440,0.943195,0,0,10,5.96046e-08,13.3658,112.125,78.1232,203.614,0,0.011208,5.43171
450,0.655223,0,0,10,5.96046e-08,14.4548,118.772,70.4924,203.719,0,0.010875,5.55508
460,0.753728,0,0,7,5.96046e-08,12.2471,125.417,66.0724,203.736,0,0.015625,5.67425
470,0.99254,0,0,6,5.96046e-08,8.6155,131.219,63.2021,203.037,0,0.011042,5.80462
480,0.869817,0,0,8,5.96046e-08,6.9158,135.541,59.1927,201.65,0,0.011625,5.95216
490,0.940321,0,0,10,5.96046e-08,8.14165,137.897,54.881,200.92,0,0.012959,6.08333
500,0.710629,0,0,11,5.96046e-08,9.41935,138.207,53.6592,201.285,0,0.012792,6.21383
510,0.635107,0,0,13,5.96046e-08,8.48442,136.898,56.3876,201.77,0,0.012542,6.35587
520,0.893845,0,0,15,5.96046e-08,6.33735,134.37,60.2069,200.915,0,0.012,6.48146
530,0.869211,0,0,9,5.96046e-08,6.42923,130.677,62.4043,199.511,0,0.010917,6.59046
540,0.979374,0,0,12,5.96046e-08,8.65851,126.047,63.737,198.442,0,0.010791,6.70121
550,0.732543,0,0,17,5.96046e-08,11.1811,120.787,66.455,198.423,0,0.011125,6.81442
560,0.69553,0,0,18,5.96046e-08,9.87488,116.02,72.4495,198.344,0,0.012541,6.94025
570,0.991294,0,0,15,5.96046e-08,6.65425,112.47,78.7199,197.844,0,0.010833,7.05029
580,0.938118,0,0,9,5.96046e-08,4.76536,109.775,81.9678,196.508,0,0.010875,7.16283
590,1.0568,0,0,19,5.96046e-08,6.78764,108.383,80.5773,195.748,0,0.010917,7.27246
