step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,4806.9,0,4806.9,0,0,0
10,0,0,0,0,0,14.3511,4790.88,0,4805.23,0,0.020875,0.211376
20,0,0,0,0,0,55.9955,4746.08,0,4802.08,0,0.024042,0.455126
30,0,0,0,0,0,122.909,4673.32,0,4796.23,0,0.021208,0.668043
40,0,0,0,0,0,213.182,4573.4,0,4786.58,0,0.025,0.9185
50,0,0,0,0,0,325.017,4446.67,0,4771.69,0,0.026375,1.17267
60,0,0,0,0,0,456.721,4294.13,0,4750.85,0,0.023542,1.40617
70,0,0,0,0,0,606.698,4116.2,0,4722.9,0,0.024834,1.65487
80,0,0,0,0,0,773.452,3913.66,0,4687.11,0,0.023709,1.90167
90,0,0,0,0,0,955.54,3686.98,0,4642.52,0,0.027041,2.13896
100,0,0,0,0,0,1151.67,3436.92,0,4588.59,0,0.024916,2.38296
110,0,0,0,0,0,1360.59,3163.86,0,4524.45,0,0.021125,2.59954
120,0,0,0,0,0,1581.08,2868.41,0,4449.49,0,0.021042,2.8105
130,0,0,0,0,0,1812.08,2551.27,0,4363.35,0,0.021166,3.02229
140,0,0,0,0,0,2052.53,2212.84,0,4265.37,0,0.020708,3.27787
150,0,0,0,0,0,2301.49,1853.68,0,4155.17,0,0.02125,3.48921
160,0,0,0,0,0,2557.97,1474.33,0,4032.3,0,0.020916,3.70041
170,0.417609,0,0,19,5.96046e-08,2631.91,1089.48,55.7829,3777.18,0,0.021125,3.91387
180,0.756319,0,0,20,5.96046e-08,2673.97,710.163,262.819,3646.95,0,0.021166,4.1282
190,0.859543,0,0,26,5.96046e-08,2623.9,342.967,556.692,3523.56,0,0.021375,4.343
200,1.13739,0,0,24,5.96046e-08,179.958,158.162,794.747,1132.87,0,0.021208,4.55787
210,1.55016,0,0,18,5.96046e-08,143.473,154.709,799.307,1097.49,0,0.022417,4.77283
220,1.08844,0,0,15,5.96046e-08,276.408,199.051,551.448,1026.91,0,0.021833,4.99425
230,0.771635,0,0,19,5.96046e-08,292.579,271.387,449.205,1013.17,0,0.022583,5.22666
240,0.711648,0,0,22,5.96046e-08,312.186,346.442,312.697,971.326,0,0.021916,5.44787
250,0.77382,0,0,16,5.96046e-08,304.583,415.498,196.604,916.684,0,0.021917,5.67137
260,0.641692,0,0,34,5.96046e-08,217.195,476.789,159.65,853.634,0,0.026834,6.09579
270,0.515044,0,0,18,5.96046e-08,153.517,526.502,151.109,831.128,0,0.021833,6.32454
