step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,2452.5,0,2452.5,0,0,0
10,0,0,0,0,0,7.32207,2444.31,0,2451.63,0,0.0135,0.133248
20,0,0,0,0,0,28.5688,2421.48,0,2450.05,0,0.011583,0.249122
30,0,0,0,0,0,62.7083,2384.35,0,2447.06,0,0.011584,0.361747
40,0,0,0,0,0,108.766,2333.36,0,2442.13,0,0.012125,0.487413
50,0,0,0,0,0,165.825,2268.74,0,2434.57,0,0.012042,0.613872
60,0,0,0,0,0,233.021,2190.91,0,2423.93,0,0.012125,0.739539
70,0,0,0,0,0,309.542,2100.14,0,2409.68,0,0.012417,0.863998
80,0,0,0,0,0,394.613,1996.77,0,2391.38,0,0.012208,0.987624
90,0,0,0,0,0,487.522,1881.12,0,2368.64,0,0.012,1.10808
100,0,0,0,0,0,587.591,1753.52,0,2341.11,0,0.011625,1.22025
110,0,0,0,0,0,694.174,1614.2,0,2308.38,0,0.01175,1.33416
120,0,0,0,0,0,806.682,1463.48,0,2270.16,0,0.010875,1.44508
130,0,0,0,0,0,924.532,1301.66,0,2226.19,0,0.013125,1.57333
140,0,0,0,0,0,1047.21,1129,0,2176.21,0,0.012708,1.70408
150,0,0,0,0,0,1174.23,945.768,0,2120,0,0.0135,1.83083
160,0,0,0,0,0,1305.09,752.218,0,2057.31,0,0.011958,1.95708
170,0.375175,0,0,20,5.96046e-08,1354.3,555.218,11.7731,1921.29,0,0.01125,2.0715
180,0.731499,0,0,8,5.96046e-08,1425.9,356.02,69.5912,1851.51,0,0.010834,2.18196
190,1.24571,0,0,13,5.96046e-08,1467.15,154.34,160.929,1782.42,0,0.010625,2.29391
200,1.93757,0,0,15,5.96046e-08,72.7122,48.9076,242.927,364.547,0,0.012208,2.41704
210,2.80345,0,0,2,5.96046e-08,31.5915,36.3024,288.304,356.198,0,0.013208,2.54675
220,3.57197,0,0,9,5.96046e-08,17.2038,35.1761,287.151,339.531,0,0.011583,2.66267
230,2.67174,0,0,6,5.96046e-08,41.0663,42.1057,250.897,334.069,0,0.0115,2.77825
240,1.66641,0,0,14,5.96046e-08,78.3384,55.9174,205.49,339.745,0,0.010708,2.89146
250,1.23848,0,0,16,5.96046e-08,90.9029,75.8319,172.377,339.112,0,0.011791,3.00758
260,0.937199,0,0,13,5.96046e-08,94.2313,98.9597,142.19,335.381,0,0.011792,3.12087
270,0.82007,0,0,6,5.96046e-08,87.4171,122.653,119.674,329.744,0,0.011708,3.23579
280,0.975384,0,0,7,5.96046e-08,70.8741,144.054,102.208,317.137,0,0.010792,3.34483
290,0.865122,0,0,8,5.96046e-08,47.6332,161.219,81.1255,289.978,0,0.014208,3.4715
300,0.939573,0,0,7,5.96046e-08,33.2957,173.353,71.772,278.421,0,0.011041,3.59604
310,0.913499,0,0,15,5.96046e-08,27.3116,180.014,67.3296,274.655,0,0.010875,3.70667
320,0.735263,0,0,10,5.96046e-08,26.7549,180.263,63.8782,270.896,0,0.01075,3.81725
