step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,9809.78,0,9809.78,0,0,0
10,0,0,0,0,0,29.2876,9777.58,0,9806.86,0,0.059792,0.46375
20,0,0,0,0,0,114.274,9685.89,0,9800.17,0,0.045375,0.905333
30,0,0,0,0,0,250.826,9537.54,0,9788.37,0,0.048792,1.40904
40,0,0,0,0,0,435.05,9333.48,0,9768.53,0,0.057,1.87496
50,0,0,0,0,0,663.299,9074.78,0,9738.08,0,0.049375,2.39058
60,0,0,0,0,0,932.118,8763.56,0,9695.68,0,0.044083,2.84816
70,0,0,0,0,0,1238.13,8400.65,0,9638.78,0,0.047375,3.2845
80,0,0,0,0,0,1578.44,7987.06,0,9565.51,0,0.0435,3.73808
90,0,0,0,0,0,1950.08,7524.43,0,9474.51,0,0.043625,4.17558
100,0,0,0,0,0,2350.41,7014.14,0,9364.55,0,0.043584,4.6135
110,0,0,0,0,0,2776.67,6456.66,0,9233.33,0,0.046625,5.05291
120,0,0,0,0,0,3226.77,5854.07,0,9080.84,0,0.042666,5.49175
130,0,0,0,0,0,3698.12,5206.66,0,8904.79,0,0.043833,5.92799
140,0,0,0,0,0,4188.86,4515.93,0,8704.79,0,0.043125,6.36541
150,0,0,0,0,0,4696.86,3782.99,0,8479.85,0,0.046625,6.80787
160,0,0,0,0,0,5220.48,3008.87,0,8229.35,0,0.042916,7.24437
170,0.421227,0,0,46,5.96046e-08,5403.67,2222.34,70.3789,7696.39,0,0.055667,7.80795
180,0.751309,0,0,61,5.96046e-08,5637.24,1432.17,365.4,7434.81,0,0.050208,8.38979
190,1.31636,0,0,39,5.96046e-08,5726.97,641.201,784.634,7152.81,0,0.050417,8.90387
200,1.68575,0,0,25,5.96046e-08,270.241,232.812,1189.26,1692.31,0,0.049417,9.41167
210,2.17278,0,0,22,5.96046e-08,140.738,194.89,1306.88,1642.51,0,0.051333,9.91908
220,2.48565,0,0,37,5.96046e-08,144.629,219.978,1151.79,1516.4,0,0.051875,10.441
230,1.49145,0,0,47,5.96046e-08,353.764,292.137,883.421,1529.32,0,0.05125,10.9583
240,1.03021,0,0,34,5.96046e-08,412.52,394.053,708.035,1514.61,0,0.052791,11.4754
250,0.992245,0,0,36,5.96046e-08,406.326,507.107,575.638,1489.07,0,0.053708,11.9983
260,0.953693,0,0,48,5.96046e-08,361.085,618.077,443.148,1422.31,0,0.051208,12.514
270,0.821409,0,0,42,5.96046e-08,255.58,715.969,319.576,1291.12,0,0.052166,13.0343
280,0.716536,0,0,36,5.96046e-08,163.277,794.428,277.376,1235.08,0,0.052625,13.5574
290,0.692426,0,0,29,5.96046e-08,123.368,850.039,244.154,1217.56,0,0.052834,14.231
300,0.712166,0,0,32,5.96046e-08,93.9441,879.025,226.247,1199.22,0,0.051792,14.7518
310,0.70729,0,0,32,5.96046e-08,97.6105,880.236,213.859,1191.71,0,0.050875,15.2646
320,0.688667,0,0,46,5.96046e-08,117.066,855.015,208.282,1180.36,0,0.0545,15.7877
330,0.583127,0,0,67,5.96046e-08,152.149,803.841,216,1171.99,0,0.050917,16.2981
340,0.793923,0,0,47,5.96046e-08,191.513,726.997,238.16,1156.67,0,0.051792,16.8191
350,0.842157,0,0,54,5.96046e-08,195.056,635.759,292.637,1123.45,0,0.0535,17.5135
360,0.755241,0,0,44,5.96046e-08,159.314,554.424,335.363,1049.1,0,0.055917,18.0017
370,0.701808,0,0,55,5.96046e-08,100.836,504.286,375.393,980.516,0,0.050416,18.5304
380,0.989067,0,0,55,1.19209e-07,62.6403,476.834,413.708,953.182,0,0.046791,19.0153
390,1.30306,0,0,57,5.96046e-08,51.2393,463.634,426.857,941.73,0,0.045041,19.4772
400,1.09477,0,0,42,5.96046e-08,47.1263,465.829,418.105,931.06,0,0.052833,19.9878
410,0.960062,0,0,78,5.96046e-08,46.5521,481.616,393.412,921.58,0,0.059916,20.4677
420,0.949764,0,0,69,5.96046e-08,59.2226,507.192,347.427,913.842,0,0.05325,21.0142
430,0.742867,0,0,42,5.96046e-08,73.183,539.766,295.529,908.478,0,0.052041,21.5431
440,0.679856,0,0,64,5.96046e-08,65.6282,575.174,254.22,895.023,0,0.051958,22.0672
450,0.742381,0,0,52,5.96046e-08,47.9804,609.499,235.534,893.013,0,0.051833,22.5926
460,0.707422,0,0,46,5.96046e-08,45.1635,636.786,211.399,893.349,0,0.047333,23.1018
470,0.631434,0,0,62,5.96046e-08,41.0899,655.747,190.887,887.724,0,0.044958,23.5628
480,0.623252,0,0,70,5.96046e-08,36.2091,665.98,182.916,885.105,0,0.045334,24.0183
490,0.585797,0,0,52,5.96046e-08,34.1704,666.935,176.381,877.486,0,0.044875,24.4708
500,0.683528,0,0,63,5.96046e-08,30.6788,659.264,185.602,875.544,0,0.045167,24.9486
510,0.796083,0,0,65,5.96046e-08,38.2046,643.105,195.092,876.402,0,0.045125,25.3997
520,0.658725,0,0,72,5.96046e-08,45.5816,619.32,205.027,869.929,0,0.046459,25.8735
530,0.680697,0,0,77,5.96046e-08,47.6317,591.37,225.157,864.159,0,0.044709,26.3348
540,0.683218,0,0,67,5.96046e-08,43.7569,563.485,248.233,855.475,0,0.053084,26.814
550,0.813539,0,0,69,5.96046e-08,35.3578,540.409,271.763,847.53,0,0.04525,27.2752
560,0.933232,0,0,48,5.96046e-08,28.315,523.191,295.014,846.52,0,0.04575,27.7303
570,0.821045,0,0,55,5.96046e-08,27.7034,513.766,302.217,843.687,0,0.045916,28.1852
580,0.867045,0,0,59,5.96046e-08,29.2289,514.143,296.22,839.592,0,0.045083,28.6645
590,0.758801,0,0,58,5.96046e-08,23.5872,522.824,288.313,834.724,0,0.045125,29.1449
600,0.69111,0,0,66,5.96046e-08,28.7223,538.211,270.068,837,0,0.045375,29.6065
610,0.864538,0,0,59,5.96046e-08,31.2397,556.756,246.256,834.252,0,0.044958,30.0605
620,0.758801,0,0,55,5.96046e-08,27.8122,575.863,227.598,831.273,0,0.046041,30.5192
630,0.708103,0,0,61,5.96046e-08,28.8145,594.172,211.486,834.472,0,0.045208,30.9722
640,0.655421,0,0,51,5.96046e-08,26.3253,609.03,194.179,829.534,0,0.045416,31.4545
650,0.564452,0,0,68,5.96046e-08,21.3601,619.196,186.778,827.333,0,0.047291,31.915
660,0.721787,0,0,65,5.96046e-08,21.6694,624.32,182.525,828.515,0,0.045292,32.3721
670,0.689397,0,0,78,5.96046e-08,19.3129,623.417,182.499,825.229,0,0.044583,32.8373
680,0.693393,0,0,56,5.96046e-08,22.4213,616.369,186.943,825.733,0,0.046417,33.3222
690,0.607127,0,0,64,5.96046e-08,24.1161,604.245,195.999,824.361,0,0.044834,33.7858
700,0.704045,0,0,71,5.96046e-08,22.0849,589.432,210.341,821.858,0,0.045083,34.2391
710,0.770327,0,0,59,5.96046e-08,25.6875,573.715,224.923,824.325,0,0.046375,34.6961
720,0.647412,0,0,80,5.96046e-08,26.2103,559.552,234.455,820.218,0,0.048458,35.1552
730,0.71958,0,0,55,5.96046e-08,20.4887,547.879,248.3,816.668,0,0.045666,35.6337
740,0.811372,0,0,62,5.96046e-08,18.0167,540.259,259.408,817.684,0,0.048208,36.0906
750,0.768046,0,0,72,5.96046e-08,17.0789,537.25,261.597,815.926,0,0.045042,36.5458
760,0.841211,0,0,63,5.96046e-08,17.2965,539.526,260.625,817.448,0,0.046458,37.0224
770,0.836929,0,0,64,5.96046e-08,21.7047,546.433,251.449,819.587,0,0.04475,37.4752
780,0.705953,0,0,66,5.96046e-08,24.8497,556.823,232.087,813.759,0,0.0475,38.0075
790,0.682884,0,0,67,5.96046e-08,19.4292,569.303,221.475,810.207,0,0.045292,38.4613
800,0.831769,0,0,61,1.19209e-07,15.0651,582.165,215.003,812.233,0,0.045666,38.9258
810,0.791301,0,0,64,5.96046e-08,19.6003,594.019,202.577,816.196,0,0.04525,39.3814
820,0.719196,0,0,72,5.96046e-08,20.7016,603.333,190.842,814.877,0,0.047625,39.8454
830,0.683468,0,0,73,5.96046e-08,19.4277,608.855,183.99,812.273,0,0.044792,40.4227
840,0.616592,0,0,73,5.96046e-08,17.7696,609.843,180.426,808.039,0,0.046333,40.8876
850,0.69982,0,0,64,5.96046e-08,11.5672,606.398,189.019,806.984,0,0.046042,41.3582
860,0.774248,0,0,64,5.96046e-08,15.1171,599.295,198.158,812.569,0,0.046958,41.8258
870,0.78967,0,0,62,5.96046e-08,21.3021,589.53,202.025,812.858,0,0.045708,42.2817
880,0.671268,0,0,64,5.96046e-08,19.6545,578.739,212.225,810.618,0,0.044875,42.7431
890,0.7638,0,0,78,5.96046e-08,22.7022,569.017,216.717,808.436,0,0.044958,43.2
900,0.829942,0,0,62,5.96046e-08,16.3823,560.541,226.716,803.639,0,0.044208,43.6549
910,0.779506,0,0,57,5.96046e-08,9.96932,554.556,241.01,805.536,0,0.045917,44.1128
