step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,2452.5,0,2452.5,0,0,0
10,0,0,0,0,0,7.32207,2444.31,0,2451.63,0,0.012833,0.128124
20,0,0,0,0,0,28.5688,2421.48,0,2450.05,0,0.0125,0.256874
30,0,0,0,0,0,62.7083,2384.35,0,2447.06,0,0.01275,0.386083
40,0,0,0,0,0,108.766,2333.36,0,2442.13,0,0.012542,0.515917
50,0,0,0,0,0,165.825,2268.74,0,2434.57,0,0.013167,0.645792
60,0,0,0,0,0,233.021,2190.91,0,2423.93,0,0.0125,0.772876
70,0,0,0,0,0,309.542,2100.14,0,2409.68,0,0.0125,0.900043
80,0,0,0,0,0,394.613,1996.77,0,2391.38,0,0.012541,1.02671
90,0,0,0,0,0,487.522,1881.12,0,2368.64,0,0.0125,1.15254
100,0,0,0,0,0,587.591,1753.52,0,2341.11,0,0.012459,1.27567
110,0,0,0,0,0,694.174,1614.2,0,2308.38,0,0.012167,1.39813
120,0,0,0,0,0,806.682,1463.48,0,2270.16,0,0.012458,1.52121
130,0,0,0,0,0,924.532,1301.66,0,2226.19,0,0.01225,1.64496
140,0,0,0,0,0,1047.21,1129,0,2176.21,0,0.012542,1.76809
150,0,0,0,0,0,1174.23,945.768,0,2120,0,0.012459,1.89134
160,0,0,0,0,0,1305.09,752.218,0,2057.31,0,0.012416,2.01484
170,0.42662,0,0,5,5.96046e-08,1336.2,556.211,38.85,1931.26,0,0.0125,2.14096
180,0.487521,0,0,17,5.96046e-08,1322.78,367.176,167.131,1857.08,0,0.01225,2.26725
190,0.670012,0,0,16,5.96046e-08,1233.5,191.52,369.902,1794.92,0,0.012209,2.39134
200,0.965554,0,0,15,5.96046e-08,148.061,105.313,497.262,750.636,0,0.013125,2.52859
210,1.0803,0,0,22,5.96046e-08,168.125,114.869,426.685,709.679,0,0.013416,2.65951
220,0.439479,0,0,6,5.96046e-08,223.943,156.614,289.874,670.43,0,0.012959,2.78776
230,0.390841,0,0,18,5.96046e-08,255.15,204.288,175.635,635.073,0,0.012875,2.91726
240,0.564253,0,0,16,5.96046e-08,241.564,248.494,122.373,612.431,0,0.012625,3.04297
