step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,9809.78,0,9809.78,0,0,0
10,0,0,0,0,0,29.2876,9777.58,0,9806.86,0,0.059416,0.486458
20,0,0,0,0,0,114.274,9685.89,0,9800.17,0,0.042917,0.920959
30,0,0,0,0,0,250.826,9537.54,0,9788.37,0,0.043041,1.35542
40,0,0,0,0,0,435.05,9333.48,0,9768.53,0,0.043167,1.78958
50,0,0,0,0,0,663.299,9074.78,0,9738.08,0,0.062083,2.28608
60,0,0,0,0,0,932.118,8763.56,0,9695.68,0,0.044458,2.75004
70,0,0,0,0,0,1238.13,8400.65,0,9638.78,0,0.043625,3.19563
80,0,0,0,0,0,1578.44,7987.06,0,9565.51,0,0.044416,3.65288
90,0,0,0,0,0,1950.08,7524.43,0,9474.51,0,0.043209,4.08783
100,0,0,0,0,0,2350.41,7014.14,0,9364.55,0,0.046792,4.535
110,0,0,0,0,0,2776.67,6456.66,0,9233.33,0,0.04275,5.00338
120,0,0,0,0,0,3226.77,5854.07,0,9080.84,0,0.050542,5.44613
130,0,0,0,0,0,3698.12,5206.66,0,8904.79,0,0.053541,5.90117
140,0,0,0,0,0,4188.86,4515.93,0,8704.79,0,0.043333,6.33692
150,0,0,0,0,0,4696.86,3782.99,0,8479.85,0,0.056,6.83696
160,0,0,0,0,0,5220.48,3008.87,0,8229.35,0,0.043375,7.34442
170,0.421227,0,0,46,5.96046e-08,5403.67,2222.34,70.3789,7696.39,0,0.046875,7.80942
180,0.751309,0,0,61,5.96046e-08,5637.24,1432.17,365.4,7434.81,0,0.044083,8.267
190,1.31636,0,0,39,5.96046e-08,5726.97,641.201,784.634,7152.81,0,0.044208,8.71229
200,1.68575,0,0,25,5.96046e-08,270.241,232.812,1189.26,1692.31,0,0.063,9.24308
210,2.17278,0,0,22,5.96046e-08,140.738,194.89,1306.88,1642.51,0,0.044792,9.72471
220,2.48565,0,0,37,5.96046e-08,144.629,219.978,1151.79,1516.4,0,0.044916,10.1936
230,1.49145,0,0,47,5.96046e-08,353.764,292.137,883.421,1529.32,0,0.044666,10.65
240,1.03021,0,0,34,5.96046e-08,412.52,394.053,708.035,1514.61,0,0.045958,11.1095
250,0.992245,0,0,36,5.96046e-08,406.326,507.107,575.638,1489.07,0,0.045959,11.5721
260,0.953693,0,0,48,5.96046e-08,361.085,618.077,443.148,1422.31,0,0.045292,12.0577
270,0.821409,0,0,42,5.96046e-08,255.58,715.969,319.576,1291.12,0,0.05325,12.5598
280,0.716536,0,0,36,5.96046e-08,163.277,794.428,277.376,1235.08,0,0.044542,13.0157
290,0.692426,0,0,29,5.96046e-08,123.368,850.039,244.154,1217.56,0,0.044166,13.4651
300,0.712166,0,0,32,5.96046e-08,93.9441,879.025,226.247,1199.22,0,0.047083,13.9433
310,0.70729,0,0,32,5.96046e-08,97.6105,880.236,213.859,1191.71,0,0.044334,14.4262
320,0.688667,0,0,46,5.96046e-08,117.066,855.015,208.282,1180.36,0,0.045334,14.9294
330,0.583127,0,0,67,5.96046e-08,152.149,803.841,216,1171.99,0,0.0445,15.4073
340,0.793923,0,0,47,5.96046e-08,191.513,726.997,238.16,1156.67,0,0.048167,15.859
350,0.842157,0,0,54,5.96046e-08,195.056,635.759,292.637,1123.45,0,0.044833,16.31
360,0.755241,0,0,44,5.96046e-08,159.314,554.424,335.363,1049.1,0,0.04625,16.7699
370,0.701808,0,0,55,5.96046e-08,100.836,504.286,375.393,980.516,0,0.046708,17.2556
380,0.989067,0,0,55,1.19209e-07,62.6403,476.834,413.708,953.182,0,0.0675,17.7898
