step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,4291.86,0,4291.86,0,0,0
10,0,0,0,0,0,7.32207,4283.72,0,4291.04,0,0.012084,0.140959
20,0,0,0,0,0,28.5688,4260.86,0,4289.43,0,0.012167,0.261961
30,0,0,0,0,0,62.7083,4223.77,0,4286.48,0,0.010417,0.367462
40,0,0,0,0,0,108.766,4172.7,0,4281.46,0,0.011667,0.489504
50,0,0,0,0,0,165.825,4108.12,0,4273.95,0,0.011666,0.609548
60,0,0,0,0,0,233.021,4030.29,0,4263.32,0,0.011708,0.727757
70,0,0,0,0,0,309.542,3939.51,0,4249.06,0,0.0105,0.842215
80,0,0,0,0,0,394.613,3836.17,0,4230.79,0,0.012,0.962842
90,0,0,0,0,0,487.522,3720.52,0,4208.04,0,0.011583,1.08105
100,0,0,0,0,0,587.591,3592.87,0,4180.46,0,0.0115,1.19901
110,0,0,0,0,0,694.174,3453.56,0,4147.73,0,0.030541,1.45284
120,0,0,0,0,0,806.682,3302.87,0,4109.56,0,0.012083,1.57475
130,0,0,0,0,0,924.532,3141.02,0,4065.56,0,0.012083,1.80567
140,0,0,0,0,0,1047.21,2968.39,0,4015.6,0,0.012,1.92613
150,0,0,0,0,0,1174.23,2785.14,0,3959.38,0,0.012208,2.15083
160,0,0,0,0,0,1305.09,2591.57,0,3896.66,0,0.011958,2.27083
170,0,0,0,0,0,1439.39,2388,0,3827.39,0,0.012042,2.39283
180,0,0,0,0,0,1576.71,2174.58,0,3751.29,0,0.012125,2.51288
190,0,0,0,0,0,1716.67,1951.6,0,3668.27,0,0.011917,2.63421
200,0,0,0,0,0,1858.88,1719.28,0,3578.17,0,0.011958,2.77525
210,0,0,0,0,0,2003.02,1477.89,0,3480.91,0,0.012084,2.89584
220,0,0,0,0,0,2148.81,1227.6,0,3376.41,0,0.011834,3.01667
230,0,0,0,0,0,2295.91,968.667,0,3264.57,0,0.012125,3.13688
240,0.0815911,0,0,4,5.96046e-08,2398.22,701.62,0.460222,3100.3,0,0.01225,3.26796
250,0.567857,0,0,15,5.96046e-08,2329.1,442.745,145.055,2916.9,0,0.01225,3.39158
260,0.846934,0,0,14,5.96046e-08,2144.29,200.899,469.3,2814.49,0,0.012084,3.51821
270,1.07257,0,0,6,5.96046e-08,191.413,85.8815,679.192,956.486,0,0.011917,3.64146
280,1.33582,0,0,32,5.96046e-08,263.399,102.299,573.533,939.232,0,0.012541,3.76467
290,0.753694,0,0,8,5.96046e-08,380.72,153.538,362.162,896.42,0,0.0125,3.89267
300,0.441259,0,0,17,5.96046e-08,368.338,211.392,239.127,818.857,0,0.012542,4.01954
310,0.438877,0,0,13,5.96046e-08,369.952,263.568,148.653,782.173,0,0.012125,4.14375
320,0.827706,0,0,12,5.96046e-08,256.558,309.434,158.777,724.77,0,0.01075,4.25021
330,0.336891,0,0,11,5.96046e-08,233.9,347.155,109.576,690.631,0,0.01025,4.3558
340,0.627904,0,0,10,5.96046e-08,172.106,375.848,125.57,673.524,0,0.010583,4.46134
350,0.455241,0,0,5,5.96046e-08,151.153,393.983,129.746,674.882,0,0.01075,4.56838
