step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,9809.78,0,9809.78,0,0,0
10,0,0,0,0,0,29.2876,9777.58,0,9806.86,0,0.052542,0.52021
20,0,0,0,0,0,114.274,9685.89,0,9800.17,0,0.045208,1.01517
30,0,0,0,0,0,250.826,9537.54,0,9788.37,0,0.049333,1.52284
40,0,0,0,0,0,435.05,9333.48,0,9768.53,0,0.046583,1.9595
50,0,0,0,0,0,663.299,9074.78,0,9738.08,0,0.044959,2.42884
60,0,0,0,0,0,932.118,8763.56,0,9695.68,0,0.04325,2.86546
70,0,0,0,0,0,1238.13,8400.65,0,9638.78,0,0.044542,3.33671
80,0,0,0,0,0,1578.44,7987.06,0,9565.51,0,0.044541,3.7998
90,0,0,0,0,0,1950.08,7524.43,0,9474.51,0,0.0445,4.27692
100,0,0,0,0,0,2350.41,7014.14,0,9364.55,0,0.045708,4.76063
110,0,0,0,0,0,2776.67,6456.66,0,9233.33,0,0.046167,5.27571
120,0,0,0,0,0,3226.77,5854.07,0,9080.84,0,0.051083,5.98325
130,0,0,0,0,0,3698.12,5206.66,0,8904.79,0,0.054333,6.50017
140,0,0,0,0,0,4188.86,4515.93,0,8704.79,0,0.051541,7.01333
150,0,0,0,0,0,4696.86,3782.99,0,8479.85,0,0.05075,7.52517
160,0,0,0,0,0,5220.48,3008.87,0,8229.35,0,0.050667,8.22384
170,0.421227,0,0,46,5.96046e-08,5403.67,2222.34,70.3789,7696.39,0,0.051417,8.74225
180,0.751309,0,0,61,5.96046e-08,5637.24,1432.17,365.4,7434.81,0,0.051042,9.27196
190,1.31636,0,0,39,5.96046e-08,5726.97,641.201,784.634,7152.81,0,0.05325,10.0765
200,1.68575,0,0,25,5.96046e-08,270.241,232.812,1189.26,1692.31,0,0.05175,10.5997
210,2.17278,0,0,22,5.96046e-08,140.738,194.89,1306.88,1642.51,0,0.052916,11.1415
220,2.48565,0,0,37,5.96046e-08,144.629,219.978,1151.79,1516.4,0,0.052375,11.6731
230,1.49145,0,0,47,5.96046e-08,353.764,292.137,883.421,1529.32,0,0.052208,12.1928
240,1.03021,0,0,34,5.96046e-08,412.52,394.053,708.035,1514.61,0,0.052042,12.72
250,0.992245,0,0,36,5.96046e-08,406.326,507.107,575.638,1489.07,0,0.052541,13.2489
260,0.953693,0,0,48,5.96046e-08,361.085,618.077,443.148,1422.31,0,0.051458,13.768
270,0.821409,0,0,42,5.96046e-08,255.58,715.969,319.576,1291.12,0,0.052916,14.2969
280,0.716536,0,0,36,5.96046e-08,163.277,794.428,277.376,1235.08,0,0.052667,14.8219
290,0.692426,0,0,29,5.96046e-08,123.368,850.039,244.154,1217.56,0,0.052875,15.3508
300,0.712166,0,0,32,5.96046e-08,93.9441,879.025,226.247,1199.22,0,0.053791,15.8806
310,0.70729,0,0,32,5.96046e-08,97.6105,880.236,213.859,1191.71,0,0.044375,16.3285
320,0.688667,0,0,46,5.96046e-08,117.066,855.015,208.282,1180.36,0,0.048333,16.8175
330,0.583127,0,0,67,5.96046e-08,152.149,803.841,216,1171.99,0,0.049667,17.2992
340,0.793923,0,0,47,5.96046e-08,191.513,726.997,238.16,1156.67,0,0.049625,17.7787
350,0.842157,0,0,54,5.96046e-08,195.056,635.759,292.637,1123.45,0,0.050083,18.2634
360,0.755241,0,0,44,5.96046e-08,159.314,554.424,335.363,1049.1,0,0.0675,18.7935
370,0.701808,0,0,55,5.96046e-08,100.836,504.286,375.393,980.516,0,0.04725,19.2682
380,0.989067,0,0,55,1.19209e-07,62.6403,476.834,413.708,953.182,0,0.047083,19.7638
390,1.30306,0,0,57,5.96046e-08,51.2393,463.634,426.857,941.73,0,0.046625,20.238
400,1.09477,0,0,42,5.96046e-08,47.1263,465.829,418.105,931.06,0,0.060666,20.7223
410,0.960062,0,0,78,5.96046e-08,46.5521,481.616,393.412,921.58,0,0.046709,21.1932
420,0.949764,0,0,69,5.96046e-08,59.2226,507.192,347.427,913.842,0,0.046625,21.6714
430,0.742867,0,0,42,5.96046e-08,73.183,539.766,295.529,908.478,0,0.04675,22.1579
440,0.679856,0,0,64,5.96046e-08,65.6282,575.174,254.22,895.023,0,0.051708,22.6477
450,0.742381,0,0,52,5.96046e-08,47.9804,609.499,235.534,893.013,0,0.049667,23.1317
460,0.707422,0,0,46,5.96046e-08,45.1635,636.786,211.399,893.349,0,0.046583,23.6023
470,0.631434,0,0,62,5.96046e-08,41.0899,655.747,190.887,887.724,0,0.050834,24.0796
480,0.623252,0,0,70,5.96046e-08,36.2091,665.98,182.916,885.105,0,0.047542,24.5617
490,0.585797,0,0,52,5.96046e-08,34.1704,666.935,176.381,877.486,0,0.053333,25.0852
500,0.683528,0,0,63,5.96046e-08,30.6788,659.264,185.602,875.544,0,0.047708,25.5849
510,0.796083,0,0,65,5.96046e-08,38.2046,643.105,195.092,876.402,0,0.045875,26.0918
520,0.658725,0,0,72,5.96046e-08,45.5816,619.32,205.027,869.929,0,0.0515,26.5874
530,0.680697,0,0,77,5.96046e-08,47.6317,591.37,225.157,864.159,0,0.050875,27.0695
540,0.683218,0,0,67,5.96046e-08,43.7569,563.485,248.233,855.475,0,0.046083,27.5377
550,0.813539,0,0,69,5.96046e-08,35.3578,540.409,271.763,847.53,0,0.046584,28.0071
560,0.933232,0,0,48,5.96046e-08,28.315,523.191,295.014,846.52,0,0.052,28.5
570,0.821045,0,0,55,5.96046e-08,27.7034,513.766,302.217,843.687,0,0.047958,28.9824
580,0.867045,0,0,59,5.96046e-08,29.2289,514.143,296.22,839.592,0,0.045667,29.4759
590,0.758801,0,0,58,5.96046e-08,23.5872,522.824,288.313,834.724,0,0.047834,29.9407
600,0.69111,0,0,66,5.96046e-08,28.7223,538.211,270.068,837,0,0.04775,30.414
610,0.864538,0,0,59,5.96046e-08,31.2397,556.756,246.256,834.252,0,0.045667,30.8783
620,0.758801,0,0,55,5.96046e-08,27.8122,575.863,227.598,831.273,0,0.048916,31.345
630,0.708103,0,0,61,5.96046e-08,28.8145,594.172,211.486,834.472,0,0.046333,31.8081
640,0.655421,0,0,51,5.96046e-08,26.3253,609.03,194.179,829.534,0,0.046041,32.2717
650,0.564452,0,0,68,5.96046e-08,21.3601,619.196,186.778,827.333,0,0.046208,32.7555
660,0.721787,0,0,65,5.96046e-08,21.6694,624.32,182.525,828.515,0,0.047625,33.2513
670,0.689397,0,0,78,5.96046e-08,19.3129,623.417,182.499,825.229,0,0.051375,33.7447
680,0.693393,0,0,56,5.96046e-08,22.4213,616.369,186.943,825.733,0,0.046583,34.2225
690,0.607127,0,0,64,5.96046e-08,24.1161,604.245,195.999,824.361,0,0.046,34.6937
700,0.704045,0,0,71,5.96046e-08,22.0849,589.432,210.341,821.858,0,0.049708,35.188
710,0.770327,0,0,59,5.96046e-08,25.6875,573.715,224.923,824.325,0,0.051458,35.686
720,0.647412,0,0,80,5.96046e-08,26.2103,559.552,234.455,820.218,0,0.046875,36.1547
730,0.71958,0,0,55,5.96046e-08,20.4887,547.879,248.3,816.668,0,0.045875,36.6237
740,0.811372,0,0,62,5.96046e-08,18.0167,540.259,259.408,817.684,0,0.050708,37.1088
750,0.768046,0,0,72,5.96046e-08,17.0789,537.25,261.597,815.926,0,0.051875,37.6076
760,0.841211,0,0,63,5.96046e-08,17.2965,539.526,260.625,817.448,0,0.046584,38.0792
770,0.836929,0,0,64,5.96046e-08,21.7047,546.433,251.449,819.587,0,0.045167,38.5348
780,0.705953,0,0,66,5.96046e-08,24.8497,556.823,232.087,813.759,0,0.045417,38.9953
790,0.682884,0,0,67,5.96046e-08,19.4292,569.303,221.475,810.207,0,0.045458,39.4537
800,0.831769,0,0,61,1.19209e-07,15.0651,582.165,215.003,812.233,0,0.04525,39.9062
810,0.791301,0,0,64,5.96046e-08,19.6003,594.019,202.577,816.196,0,0.046458,40.3843
820,0.719196,0,0,72,5.96046e-08,20.7016,603.333,190.842,814.877,0,0.046,40.8752
830,0.683468,0,0,73,5.96046e-08,19.4277,608.855,183.99,812.273,0,0.04525,41.3409
840,0.616592,0,0,73,5.96046e-08,17.7696,609.843,180.426,808.039,0,0.046416,41.8205
850,0.69982,0,0,64,5.96046e-08,11.5672,606.398,189.019,806.984,0,0.046375,42.3131
860,0.774248,0,0,64,5.96046e-08,15.1171,599.295,198.158,812.569,0,0.04775,42.779
870,0.78967,0,0,62,5.96046e-08,21.3021,589.53,202.025,812.858,0,0.047709,43.2551
880,0.671268,0,0,64,5.96046e-08,19.6545,578.739,212.225,810.618,0,0.046417,43.7213
890,0.7638,0,0,78,5.96046e-08,22.7022,569.017,216.717,808.436,0,0.048459,44.2039
900,0.829942,0,0,62,5.96046e-08,16.3823,560.541,226.716,803.639,0,0.052458,44.7867
910,0.779506,0,0,57,5.96046e-08,9.96932,554.556,241.01,805.536,0,0.050958,45.2689
920,0.762027,0,0,71,5.96046e-08,16.6704,551.736,242.891,811.298,0,0.050542,45.7633
930,0.74798,0,0,71,5.96046e-08,18.4024,552.391,237.145,807.939,0,0.046333,46.2497
940,0.754169,0,0,79,5.96046e-08,15.7711,556.134,233.652,805.557,0,0.04675,46.7331
