step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,9809.78,0,9809.78,0,0,0
10,0,0,0,0,0,29.2876,9777.58,0,9806.86,0,0.043917,0.437543
20,0,0,0,0,0,114.274,9685.89,0,9800.17,0,0.043333,0.873293
30,0,0,0,0,0,250.826,9537.54,0,9788.37,0,0.044084,1.31067
40,0,0,0,0,0,435.05,9333.48,0,9768.53,0,0.043333,1.74942
50,0,0,0,0,0,663.299,9074.78,0,9738.08,0,0.052125,2.33604
60,0,0,0,0,0,932.118,8763.56,0,9695.68,0,0.043292,2.77213
70,0,0,0,0,0,1238.13,8400.65,0,9638.78,0,0.043875,3.21125
80,0,0,0,0,0,1578.44,7987.06,0,9565.51,0,0.04525,3.65134
90,0,0,0,0,0,1950.08,7524.43,0,9474.51,0,0.04325,4.08938
100,0,0,0,0,0,2350.41,7014.14,0,9364.55,0,0.055,4.678
110,0,0,0,0,0,2776.67,6456.66,0,9233.33,0,0.043291,5.11229
120,0,0,0,0,0,3226.77,5854.07,0,9080.84,0,0.043583,5.54792
130,0,0,0,0,0,3698.12,5206.66,0,8904.79,0,0.0475,5.99225
140,0,0,0,0,0,4188.86,4515.93,0,8704.79,0,0.043625,6.43854
150,0,0,0,0,0,4696.86,3782.99,0,8479.85,0,0.050083,7.01108
160,0,0,0,0,0,5220.48,3008.87,0,8229.35,0,0.044459,7.45392
170,0.421227,0,0,46,5.96046e-08,5403.67,2222.34,70.3789,7696.39,0,0.044,7.90979
180,0.751309,0,0,61,5.96046e-08,5637.24,1432.17,365.4,7434.81,0,0.045542,8.35633
190,1.31636,0,0,39,5.96046e-08,5726.97,641.201,784.634,7152.81,0,0.043959,8.80521
200,1.68575,0,0,25,5.96046e-08,270.241,232.812,1189.26,1692.31,0,0.058041,9.38321
210,2.17278,0,0,22,5.96046e-08,140.738,194.89,1306.88,1642.51,0,0.045167,9.82908
220,2.48565,0,0,37,5.96046e-08,144.629,219.978,1151.79,1516.4,0,0.045834,10.2807
230,1.49145,0,0,47,5.96046e-08,353.764,292.137,883.421,1529.32,0,0.045,10.7388
240,1.03021,0,0,34,5.96046e-08,412.52,394.053,708.035,1514.61,0,0.045042,11.2254
250,0.992245,0,0,36,5.96046e-08,406.326,507.107,575.638,1489.07,0,0.045708,11.746
260,0.953693,0,0,48,5.96046e-08,361.085,618.077,443.148,1422.31,0,0.053792,12.3132
270,0.821409,0,0,42,5.96046e-08,255.58,715.969,319.576,1291.12,0,0.05275,12.8392
280,0.716536,0,0,36,5.96046e-08,163.277,794.428,277.376,1235.08,0,0.045208,13.3047
290,0.692426,0,0,29,5.96046e-08,123.368,850.039,244.154,1217.56,0,0.054958,13.8321
300,0.712166,0,0,32,5.96046e-08,93.9441,879.025,226.247,1199.22,0,0.051291,14.4074
310,0.70729,0,0,32,5.96046e-08,97.6105,880.236,213.859,1191.71,0,0.045625,14.8669
320,0.688667,0,0,46,5.96046e-08,117.066,855.015,208.282,1180.36,0,0.050583,15.335
330,0.583127,0,0,67,5.96046e-08,152.149,803.841,216,1171.99,0,0.047625,15.8175
340,0.793923,0,0,47,5.96046e-08,191.513,726.997,238.16,1156.67,0,0.045833,16.2759
350,0.842157,0,0,54,5.96046e-08,195.056,635.759,292.637,1123.45,0,0.046208,16.7812
